ssrd,longitude,latitude
9973140,96.2,5.1
10080370.00000000,96.3,5.1
10118892.00000000,96.4,5.1
10208270.00000000,96.5,5.1
10397848.00000000,96.6,5.1
10601944.00000000,96.7,5.1
10811126.00000000,96.8,5.1
11003384.00000000,96.9,5.1
11172152.00000000,97,5.1
11240804.00000000,97.1,5.1
11242314.00000000,97.2,5.1
11526434.00000000,97.3,5.1
11789914.00000000,97.4,5.1
11840344.00000000,97.5,5.1
11841412.00000000,97.6,5.1
4209792,100.4,5.1
4281752,100.5,5.1
4359842,100.6,5.1
4424974,100.7,5.1
4504630,100.8,5.1
4561754,100.9,5.1
4638686,101,5.1
4768414,101.1,5.1
4917012,101.2,5.1
5166594,101.3,5.1
5548564,101.4,5.1
5981576,101.5,5.1
6409284,101.6,5.1
6822586,101.7,5.1
7176970,101.8,5.1
7269420,101.9,5.1
7318858,102,5.1
7327242,102.1,5.1
6986796,102.2,5.1
6702436,102.3,5.1
6531356,102.4,5.1
6357196,102.5,5.1
6111392,102.6,5.1
6197476,102.7,5.1
6709938,102.8,5.1
7200938,102.9,5.1
7722230,103,5.1
8265754,103.1,5.1
8805868,103.2,5.1
19064362.00000000,115.6,5.1
18774612.00000000,115.7,5.1
18489564.00000000,115.8,5.1
18358204.00000000,115.9,5.1
18186128.00000000,116,5.1
17938122.00000000,116.1,5.1
17803326.00000000,116.2,5.1
17788698.00000000,116.3,5.1
17710748.00000000,116.4,5.1
17613002.00000000,116.5,5.1
17654426.00000000,116.6,5.1
17777714.00000000,116.7,5.1
17994984.00000000,116.8,5.1
18219660.00000000,116.9,5.1
18296652.00000000,117,5.1
18377238.00000000,117.1,5.1
18596236.00000000,117.2,5.1
18735416.00000000,117.3,5.1
18697134.00000000,117.4,5.1
18638070.00000000,117.5,5.1
18545990.00000000,117.6,5.1
18311646.00000000,117.7,5.1
17939684.00000000,117.8,5.1
17595472.00000000,117.9,5.1
17279088.00000000,118,5.1
17130590.00000000,118.1,5.1
17308102.00000000,118.2,5.1
17527144.00000000,118.3,5.1
17732822.00000000,118.4,5.1
18028646.00000000,118.5,5.1
18375500.00000000,118.6,5.1
18815384.00000000,118.7,5.1
19174856.00000000,118.8,5.1
19555670.00000000,118.9,5.1
19869482.00000000,119,5.1
20763674.00000000,119.8,5.1
20725652.00000000,119.9,5.1
8661780,95.4,5
8918896,95.5,5
9078350,95.6,5
9152154,95.7,5
9185964,95.8,5
9189680,95.9,5
9144944,96,5
9203304,96.1,5
9296592,96.2,5
9423516,96.3,5
9538564,96.4,5
9636280,96.5,5
9830886,96.6,5
10043180.00000000,96.7,5
10252596.00000000,96.8,5
10459046.00000000,96.9,5
10644016.00000000,97,5
10769076.00000000,97.1,5
11000636.00000000,97.2,5
11327752.00000000,97.3,5
11611326.00000000,97.4,5
11862832.00000000,97.5,5
11894608.00000000,97.6,5
4648066,100.5,5
4712032,100.6,5
4774628,100.7,5
4862116,100.8,5
4941070,100.9,5
5027024,101,5
5172574,101.1,5
5334616,101.2,5
5583634,101.3,5
5918282,101.4,5
6301916,101.5,5
6704328,101.6,5
7073240,101.7,5
7393782,101.8,5
7497614,101.9,5
7553848,102,5
7576004,102.1,5
7309100,102.2,5
7121206,102.3,5
6970306,102.4,5
6823902,102.5,5
6644560,102.6,5
6732436,102.7,5
7227172,102.8,5
7702858,102.9,5
8223782,103,5
8771526,103.1,5
9315144,103.2,5
9723542,103.3,5
19381444.00000000,114.9,5
19557490.00000000,115,5
19234308.00000000,115.5,5
19038316.00000000,115.6,5
18774648.00000000,115.7,5
18631550.00000000,115.8,5
18516696.00000000,115.9,5
18367048.00000000,116,5
18182946.00000000,116.1,5
18036680.00000000,116.2,5
17968976.00000000,116.3,5
17838010.00000000,116.4,5
17738710.00000000,116.5,5
17670658.00000000,116.6,5
17699836.00000000,116.7,5
17871890.00000000,116.8,5
17965742.00000000,116.9,5
18004506.00000000,117,5
18088006.00000000,117.1,5
18199964.00000000,117.2,5
18342844.00000000,117.3,5
18284246.00000000,117.4,5
18235710.00000000,117.5,5
18147928.00000000,117.6,5
17990538.00000000,117.7,5
17750336.00000000,117.8,5
17429960.00000000,117.9,5
17233738.00000000,118,5
17106576.00000000,118.1,5
17282456.00000000,118.2,5
17585754.00000000,118.3,5
17841548.00000000,118.4,5
18218570.00000000,118.5,5
18674372.00000000,118.6,5
19129418.00000000,118.7,5
19347526.00000000,118.8,5
7791712,95.4,4.9
8010354,95.5,4.9
8173148,95.6,4.9
8243676,95.7,4.9
8277396,95.8,4.9
8360864,95.9,4.9
8442480,96,4.9
8522304,96.1,4.9
8615162,96.2,4.9
8742544,96.3,4.9
8878182,96.4,4.9
9040782,96.5,4.9
9243948,96.6,4.9
9456404,96.7,4.9
9665668,96.8,4.9
9872200,96.9,4.9
10082858.00000000,97,4.9
10402582.00000000,97.1,4.9
10723032.00000000,97.2,4.9
11050544.00000000,97.3,4.9
